Nombre científico ;Nombre común ;Familia 
Pera arborea Mutis ;Pera ;Euphorbiaceae 
Persea americana Mill. ;Aguacate , Amó , Avocado , Jamó ;Lauraceae 
Persea caerulea (Ruiz & Pav.) Mez ;Aguacatillo , Aguacatillo ascá , Aguacatón , Ira , Ira café ;Lauraceae 
Persea schiedeana Nees ;Aguacate de montaña , Aguacatón , Yas , Yas ;Lauraceae 
Phoenix canariensis Hort. ex Chabaud ;Palma ;Arecaceae 
Phoenix pusilla Gaertn. ;Palma ;Arecaceae 
Phoenix reclinata Jacq. ;Palma ;Arecaceae 
Phoenix roebelenii O`Brien ;Palma ;Arecaceae 
Pholidostachys pulchra H. Wendl. ex Burret ;Palma ;Arecaceae 
Phyllanthus skutchii Standl. ;Sin nombre ;Euphorbiaceae 
Phyllocarpus septrentionalis Donn. Sm. ;Sin nombre ;Fabaceae-Caes. 
Pinus caribaea var. Hondurensis Morelet ;Pino ;Pinaceae 
Pinus montezumae A. B. Lambert ;Pino ;Pinaceae 
Pinus oocarpa Schlechtendal ;Pino ;Pinaceae 
Pinus patula Schlechtendal & Chamisso ;Pino ;Pinaceae 
Pinus pseudostrobus Lindl. ;Pino ;Pinaceae 
Pinus radiata D. Don ;Pino ;Pinaceae 
Pinus tecunumanii Eguiluz & J. P. Perry ;Pino ;Pinaceae 
Piper auritum Kunth ;Anisillo , Hoja de estrella ;Piperaceae 
Piscidia carthagenensis Jacq. ;Cachimbo , Pellejo de toro , Siete cueros ;Fabaceae-Pap. 
Pithecellobium dulce (Roxb.) Benth. ;Michiguiste Mochiguiste ;Fabaceae-Mim. 
Pithecellobium lanceolatum (Humb. & Bonpl. ex) Will ;Michiguiste ;Fabaceae-Mim. 
Platycadus occidentalis  ;Thuja ;Cupressaceae 
Platycladus orientalis (L.) Franco ;Thuja ;Cupressaceae 
Platymiscium curuense N. Zamora & Kiitgaard ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Platymiscium parviflorum Benth. ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Platymiscium pinnatum (Jacq.) Dugand ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Pleurothyrium palmanum (Mez & Donn. Sm.) Rohwer ;Ira zopilote , Quizarrá zopilote ;Lauraceae 
Plumeria rubra L. ;Alhelí , Cacalojoche , Flor blanca , Fragipani , Frangipana , Jiquiloche , Juche , Torito ;Apocynaceae 
Podachaenium eminens (Lag.) Sch. Bip ;Tora , Tora blanca ;Asteraceae 
Podocarpus costaricensis de Laub. ;Ciprecillo , Ciprés blanco , Cipresillo , Cipresillo amarillo , Coloba ;Podocarpaceae 
Podocarpus costaricensis de Laub. ;Lorito ;Podocarpaceae 
Podocarpus guatemalensis Standl. ;Ciprecillo , Ciprecillo amarillo , Ciprecillo blanco , Pinillo , Pino de montaña ;Podocarpaceae 
Podocarpus macrostachys Parl. ;Cipresillo ;Podocarpaceae 
Podocarpus monteverdeensis de Laub. ;Ciprecillo ;Podocarpaceae 
Populus alba L. ;Populus , Populus ;Salicaceae 
Posoqueria latifolia (Rudge) Roem. & Schult. ;Guayaba de mono ;Rubiaceae 
Poulsenia armata (Miq.) Standl. ;Calugo , Chilamante espinoso , Chilamate espina , Mastate ;Moraceae 
Pourouma bicolor Mart. ;Alazán , Chumico , Guarumo de montaña , Lija , Mastate , Pasica ;Cecropiaceae 
Pourouma minor Benoist ;Chumico , Huevos de gato ;Cecropiaceae 
Pouteria congestifolia Pilz ;Leche amarilla ;Sapotaceae 
Pouteria laevigata (Mart.) Radlk. ;Sapote ;Sapotaceae 
Pouteria sapota (Jacq.) H. E. Moore & Ste ;Sapote ;Sapotaceae 
Pouteria torta (Mart.) Radlk. ;Sapote ;Sapotaceae 
Pouteria viridis (Pittier) Cronquist ;Zapote ;Sapotaceae 
Povedadaphne quadriporata W. C. Burger ;Ira rosa ;Lauraceae 
Prestoea acuminata (Willd.) H. E. Moore ;Palmito morado ;Arecaceae 
Prestoea decurrens (H. Wendl. ex ) Burret H. ;Palmito mantequilla ;Arecaceae 
Prestoea longepetiolata (Oerts.) H. E. Moore ;Palma ;Arecaceae 
Prioria copaifera Griseb. ;Camíbar , Cativo , Cativo blanco ;Fabaceae-Caes. 
Pritchardia pacifica Seem. & H. Wendl. ex  H. Wendl. ;Palma de abanico de , Fiji ;Arecaceae 
Protium costaricense (Rose) Engl. ;Alcanfor , Canfín , Canfine , Canfinsillo , Caraña , Copal ;Burseraceae 
Protium costaricense (Rose) Engl. ;Copalillo ;Burseraceae 
Protium glabrum (Rose) Engl. ;Canfín Copalillo ;Burseraceae 
Protium panamense (Rose) I. M. Johnst. ;Alcanfor , Canfin , Copal ;Burseraceae 
Protium pittieri (Rose) Engl. ;Copal ;Burseraceae 
Protium ravenii D. M. Porter ;Canfin , Copal , Copalillo ;Burseraceae 
Protium schippi Lundell ;Canfin Copal ;Burseraceae 
Protium spp ;Alcanfor Canfín ;Burseraceae 
Prumnopitys standleyi (J. Buchholz & N. Gray) d ;Ciprés lorito , Cipresillo, ciprecillo ;Podocarpaceae 
Prunus annularis Koehne ;Cipresillo , Duraznillo , Manglillo , Mariquita ;Rosaceae 
Prunus corniflora Koehne ;Duraznillo ;Rosaceae 
Prunus subcorymbosa Ruiz ex Koehne ;Duraznillo ;Rosaceae 
Pseudobombax septenatum (Jacq.) Dugand ;Barrigón , Ceiba barrigón  , Ceiba de rayas , Ceibo , Ceibo barrigón , Ceibo barrigón , Ceibo macho , Ceibo pochote , Ceibo verde ;Bombacaeae 
Pseudosamanea guachapele (Kunth) Harms ;Cenízaro macho , Gallinazo , Gavilán Gavilana , Guayaquil ;Fabaceae-Mim. 
Psidium sartorianum (O. Berg) Nied. ;Cacique ;Myrtaceae 
Pterocarpus hayesii Hemsl. ;Cachimbo blanco , Sandre drago , Sangregado , Sangrillo , Sangrillo blanco ;Fabaceae-Pap. 
Pterocarpus michelianus N. Zamora ;Clavelino , Sangregado ;Fabaceae-Pap. 
Pterocarpus officinalis Jacq. ;Chajada , Chajada amarilla , Cuajada amarilla , Kapek , Paleto , Palo de sangre , Sangre , Sangregado , Sangregao , Sangrillo Targuayugo , Targuayugo blanco ;Fabaceae-Pap. 
Pterocarpus rohrii Vahl ;Paleta , Sangregado ;Fabaceae-Pap. 
Pterocarpus violaceus Vogel ;Sangregado Sangrillo ;Fabaceae-Pap. 
Pterygota excelsa (Standl. & L. O. Williams) Kosterm. ;Probado , Queso fresco ;Sterculiaceae 
Qualea paraensis Ducke ;Areno , Gorgojo , Masicarán , Mazicarán ;Vochysiaceae 
Quararibea asterolepsis Pittier ;Garrocho , Guácimo molenillo ;Bombacaeae 
Quercus brenesii Trel. ;Encino , Roble , Roble negro ;Fagaceae 
Quercus copeyensis C. H. Mull. ;Barcino blanco , Encino , Roble , Roble barcino , Roble blanco , Roble colorado ;Fagaceae 
Quercus corrugata Hook. ;Encino Roble ;Fagaceae 
Quercus costaricensis Liebm. ;Encino , Encino blanco , Roble , Roble encino , Roble negro ;Fagaceae 
Quercus oleoides Schltdl. & Cham. ;Encino Roble ;Fagaceae 
Quercus oocarpa Liebm. ;Roble , Roble blanco ;Fagaceae 
Quercus rapurahuensis Pittier ex Trel. ;Roble ;Fagaceae 
Quercus seemanii Liebm. ;Roble ;Fagaceae 
Quercus spp ;Encino Roble  ;Fagaceae 
Quercus tonduzii Seemen ;Roble ;Fagaceae 
Raphia taedigera Mart. ;Tagua , Yolillo ;Arecaceae 
Raphia vinifera P. Beauv. ;Palma ;Arecaceae 
Ravenala madagascariensis Sonn. ;Palma de viajero ;Strelichzaceae 
Reinhardtia gracilis (H. Wendl.) Drude ex Damm ;Palma ;Arecaceae 
Rhapis excelsa (Thunb.) A. Henry ex Rehder ;Palma ;Arecaceae 
Rhizophora mangle L. ;Mangle , Mangle blanco , Mangle caballero , Mangle colorado , Mangle gateador , Mangle gato , Mangrove ;Rhizophoraceae 
Rhizophora racemosa G. Mey. ;Mangle caballero , Mangle colorado , Mangle gateador ;Rhizophoraceae 
Ricinus communis L. ;Higuerilla ;Euphorbiaceae 
Rollinia pittieri Saff. ;Anón , Anonillo , Candelo ;Annonaceae 
Roupala glaberrima Pittier ;Danto , Danto amarillo , Danto hediondo ;Proteaceae 
Roupala montana Aubl. ;Danto , Danto hediondo Danto ratón ;Proteaceae 
Roystonea oleracea (Jacq.) O. F. Cook ;Palma real del caribe ;Arecaceae 
Roystonea regia (Kunth) O. F. Cook ;Palma real de Cuba ;Arecaceae 
Ruptiliocarpon caracolito Hammel & N. Zamora ;Caracolito , Cedro caracolito ;Lepidobotryaceae 
Sabal domingensis Becc. ;Sabal ;Arecaceae 
Sabal mauritiiformis (H. Karst.) Griseb. & H. ;Sabal ;Arecaceae 
Sacoglottis trichogyna Cuatrec. ;Campano ;Humiriaceae 
Sacoglottis trichogyna Cuatrec. ;Colmena , Cucaracho , Danto , Danto plomillo , Erizo , Titor ;Humiriaceae 
Salix babylonica L. ;Sauce llorón ;Salicaceae 
Salix humboldtiana Willd. ;Sauce , Sauce llorón ;Salicaceae 
Samanea saman (Jacq.) Merr. ;Cenicero , Cenízaro , Genízaro , Genízaro ;Fabaceae-Mim. 
Sapindus saponaria L. ;Chumico Jaboncillo ;Sapindaceae 
Sapium glandulosum (L.) Morong ;Yos ;Euphorbiaceae 
Sapium laurifolium (Rich.) Griseb ;Yos ;Euphorbiaceae 
Sapranthus palanga R. E. Fr. ;Guineo , Palanco Plátano  , Turrú ;Annonaceae 
Schefflera morototoni (Aubl.) Maguire, Steyerm. ;Cola de pava , Fosforillo , Guarumo de montaña , Guarumón , Mano de león , Pava , Pavilla Pavo macho , Probado ;Araliaceae 
Schinus molle L. ;Chile , Pimiento Pirul ;Anacardiaceae 
Schizolobium parahyba (Vell.) S. F. Blake ;Caña fístula , Cañafistol , Gallinazo , Gallinazo del pacífico , Gavilán , Zorra ;Fabaceae-Caes. 
Sciadodendron excelsum Griseb. ;Espiritu , Jobo , Lagarto ;Araliaceae 
Sclerolobium costaricense N. Zamora & Poveda ;Arenillo Tostado ;Fabaceae-Caes. 
Sebastiania pavoniana Mull. Arg. ;Mario , Palo de sapo ;Euphorbiaceae 
Senna papillosa (Britton & Rose) H. S. Ir ;Abejón ;Fabaceae-Caes. 
Senna pendula (Willd.) H. S. Irwin & Ba ;Candelillo ;Fabaceae-Caes. 
Senna reticulata (Willd.) H. S. Britton & Ba ;Saragundí ;Fabaceae-Caes. 
Senna spectabilis (DC.) H. S. Irwin & Barne ;Candelillo Vainillo ;Fabaceae-Caes. 
Sideroxylon capiri (A. DC.) Pittier ;Caracolillo , Danto amarillo , Níspero de monte , Tempisque ;Sapotaceae 
Simaba cedron Planch. ;Cedrón ;Simaroubaceae 
Simarouba amara Aubl. ;Aceituno , Aceituno negro ;Simaroubaceae 
Simarouba glauca DC. ;Aceitino negro , Aceituno , Manteco , Negrito , Olivo , Zapatero ;Simaroubaceae 
Simira maxonii (Standl.) Steyerm. ;Guaitil colorado Siguatil ;Rubiaceae 
Siparuna gesnerioides (Kunth) A. DC. ;Limoncillo ;Monimiaceae 
Sloanea ampla I. M. Jonhst. ;Achiotillo ;Elaeocarpaceae 
Sloanea faginea Standl. ;Abrojo , Paleta , Terciopelo ;Elaeocarpaceae 
Sloanea latifolia (Rich.) K. Schum ;Paleta , Terciopelo ;Elaeocarpaceae 
Sloanea laurifolia (Benth.) Benth. ;Abrojo ;Elaeocarpaceae 
Sloanea medusula K. Schum. & Pittier ;Abrojo , Guellaperro ;Elaeocarpaceae 
Sloanea obtusifolia (Moric.) K. Schum. ;Abrojo , Guellaperro ;Elaeocarpaceae 
Sloanea picapica Standl. ;Ira rosa ;Elaeocarpaceae 
Sloanea spp ;Huesillo ;Elaeocarpaceae 
Sloanea terniflora (Moc. & Sesse ex DC.) Sta ;Pica pica Terciopelo ;Elaeocarpaceae 
Socratea exrrhiza (Mart.) H. Wendl. ;Chonta patona Maquenque ;Arecaceae 
Spathodea campanulata P. Beauv. ;Llama del bosque  ;Bignoniaceae 
Spondias dulcis Parkinson ;Yuplón ;Anacardiaceae 
Spondias mombin L. ;Bala , Bara , Blá , Daplá , Hogplum , Jobo Jocote , Jocote jobo ;Anacardiaceae 
Spondias purpurea L. ;Bala karbö , Bolá , Braa Ciruelo , Jocote , Jocote cimarrón , Jocote corona , Jocote de iguana , Jocote garrobo Jocote iguanero , Jocote inviernero , Jocote invierniz , Jocote jimoyo , Jocote nica , Jocote tronador , Jocote veranero ;Anacardiaceae 
Spondias radlkoferi Donn. Sm. ;Jobo , Jobo negro , Jocote cimarrón ;Anacardiaceae 
Stemmadenia donnell-smithii (Rose) Woodson ;Bijarro , Huevos de caballo , Huevos de toro ;Apocynaceae 
Stemmadenia obovata (Hook. & Arn.) K. Schum. ;Cojón de caballo , Guijarro , Huevos de toro ;Apocynaceae 
Stemmadenia spp ;Huevos de caballo ;Apocynaceae 
Stenocereus aragonii (F. A. C. Weber) Buxb. ;Candelabro ;Cactaceae 
Stephanopodium costaricense Prance ;Caja ;Dichapetalaceae 
Sterculia allenii E. Taylor ;Panamá ;Sterculiaceae 
Sterculia apetala (Jacq.) H. Karst. ;Árbol de Panamá Castaño ;Sterculiaceae 
Sterculia apetala (Jacq.) H. Karst. ;Palo de leche , Pan de leche , Panamá , Panamá , Piñón , Terciopelo ;Sterculiaceae 
Sterculia recordiana Standl. ;Panamá Yuco ;Sterculiaceae 
Stryphnodendron microstachyum Poepp. & Endl. ;Gallinazo , Vainilla , Vainillo ;Fabaceae-Mim. 
Swartzia cubensis (Britton & P. Wilson) Sta ;Carboncillo Costilla de danto , Frijolón , Kakir klö , Kikir , Melón , Moridero ;Fabaceae-Pap. 
Swartzia panamensis Benth. ;Carboncillo , Cutarro , Guayacán , Tacuaren ;Fabaceae-Pap. 
Swartzia simplex (Sw.) Spreng. ;Naranjito ;Fabaceae-Pap. 
Swietenia humilis Zucc. ;Cahoba Caoba ;Meliaceae 
Swietenia macrophylla King ;Cahoba Caoba ;Meliaceae 
Syagrus romanzoffiana (Cham.) Glassman. ;Palma ;Arecaceae 
Symphonia globulifera L. f. ;Amarillo , Botoncillo , Caraño , Cerillo , Leche amarillo ;Clusiaceae 
Synechanthus warscewiczianus H. Wendl. ;Palma ;Arecaceae 
Syzygium jambos (L.) Alston ;Manzana rosa ;Myrtaceae 
Tabebuia chrysantha (Jacq.) G. Nicholson ;Cortés , Cortez , Cortez amarillo , Corteza amarilla ;Bignoniaceae 
Tabebuia guayacan (Seem.) Hemsl. ;Cortés , Cortez , Cortéz ;Bignoniaceae 
Tabebuia guayacan (Seem.) Hemsl. ;Cortez amarillo , Cortéz amarillo , Corteza , Corteza amarilla , Guayacán , Ulë' ;Bignoniaceae 
Tabebuia impetiginosa (Mart. ex DC.) Standl. ;Cortés negro ;Bignoniaceae 
Tabebuia ochracea (Cham.) Standl. ;Corteza amarilla Corteza ;Bignoniaceae 
Tabebuia rosea (Bertol.) DC. ;Roble , Roble de sabana , Roble sabana ;Bignoniaceae 
Tachigali versicolor Standl. & L. O. Williams ;Alazán , Caña fístula , Cutarro amarillo , Palomo , Pellejo de toro , Plomo Reseco , Tostado ;Fabaceae-Caes. 
Talauma gloriensis Pittier ;Magnolia ;Magnoliaceae 
Tamarindus indica L. ;Tamarindo ;Fabaceae-Caes. 
Tapirira mexicana Marchand ;Cirrí , Cirrí blanco , Cirrí colorado , Ciruelo de montaña ;Anacardiaceae 
Tapirira myriantha Triana & Planch. ;Cedrillo Cedro dulce , Cedro manteco , Cedrón , Manteco ;Anacardiaceae 
Taxodium mucronatum Ten. ;Taxodium  ;Cupressaceae 
Tecoma stans (L.) C. Juss. ex Kunth ;Candelillo , Carboncillo , Serrecillo , Vainillo ;Bignoniaceae 
Tectona grandis L.f. ;Teca ;Viticaceae 
Terminalia amazonia (J. F. Gmel.) Exell ;Amarillo , Amarillón , Carbonero , Cascarillo , Chano ;Combretaceae 
Terminalia amazonia (J. F. Gmel.) Exell ;Escobo , Guayaba de montaña , Guayaba de monte , Guayabo de charco , Guayabo de montaña , Guayabo de monte , Guayabo negro , Guayabón , Naranjo volador Papayo amarillo , Quiubra , Roble coral , Shano , Surá , Volador ;Combretaceae 
Terminalia bucidoides Standl. & L. O. Williams ;Escobo , Escobo negro , Guayabo de charco , Guayabón negro , Pimiento , Roble de charco ;Combretaceae 
Terminalia catappa L. ;Almendro de playa ;Combretaceae 
Terminalia ivorensis A. Chev. ;Guayabón , Roble marfil ;Combretaceae 
Terminalia oblonga (Ruiz & Pav.) Steud. ;Guayaba de montaña , Guayaba de monte , Guayabo de montaña , Guayabón , Sholí , Shulú , Shwlwclö , Surá ;Combretaceae 
Tetragastris panamensis (Engl.) Kuntze ;Canfín , Copal , Querosén ;Burseraceae 
Tetrathylacium macrophyllum Poepp. ;Lengua de vaca Zapote ;Flacourtiaceae 
Theobroma angustifolium Moc. & Sesse ex DC. ;Cacao de montaña ;Sterculiaceae 
Theobroma simiarum Donn. Sm. ;Cacao de mico , Cacao de montaña Teta negra ;Sterculiaceae 
Thevetia ovata (Cav.) A. DC. ;Flor blanca ;Apocynaceae 
Thevetia peruviana (Pers.) K. Schum. ;Chirca ;Apocynaceae 
Thouinidium decandrum (Humb. & Bonpl.) Radlk. ;Escobillo , Matapulgas , Sardinillo , Sardino ;Sapindaceae 
Ticodendron incognitum Gomez-Laur. & Gomez ;Duraznillo , Jaúl macho , Jául nazareno ;Ticodendraceae 
Tovomitopsis psychotrieafolia (Planch. & Triana) D´Arcy ;Sangre de toro ;Clusiaceae 
Trachycarpus fortunei (Hook) H. Wendl. ;Palma de molino de viento ;Arecaceae 
Trattinnickia aspera (Standl.) Swart ;Caraño , Caraña , Carao amargo ;Burseraceae 
Trema integerrima (Beurl.) Standl. ;Capulin , Capulín blanco , Capulín negro , Jucó , Jucó , Vara blanca ;Ulmaceae 
Trema micrantha (L.) Blume ;Capulín , Capulín blanco , Capulín negro , Jucó , Urré , Vara , Vara blanca ;Ulmaceae 
Trichilia adolfi Harms ;Uruca ;Meliaceae 
Trichilia glabra L. ;Uruca ;Meliaceae 
Trichilia havanensis Jacq. ;Uruca ;Meliaceae 
Trichilia hirta L. ;Cedrón Uruca ;Meliaceae 
Trichilia martiana C. DC. ;Cedrillo , Cola de pava , Manteco , Uruca ;Meliaceae 
Trichospermun galeottii (Turcz.) Kosterm. ;Capulín , Capulín colorado , Capulín sabanero , Guácimo blanco , Jucó blanco , Majagua , Plomo ;Tiliaceae 
Triplaris melaenodendron (Bertol.) Standl. & Steye ;Bailarín , Barrabás , Hormigo , Palo de santo , Palo santo , Tabaco , Tabaco de montaña , Tabacón ;Polygonaceae 
Ulmus mexicana (Liebm.) Planch. ;Cenízaro Tirrá ;Ulmaceae 
Unonopsis pittieri Saff. ;Anonillo , Yaya , Yayo ;Annonaceae 
Urera laciniata (Goudot) Wedd. ;Ortiga ;Urticaceae 
Uribea tamarindoides Dugand & Romero ;Almendro , Tamarindo , Tamarindo de montaña , Tamarindo gigante ;Fabaceae-Pap. 
Vaccinium consanguineaum Klotzsch ;Arrayán ;Ericaceae 
Vantanea barbourii Standl. ;Campano , Caracolillo , Chiricano , Chiricano alegre , Chiricano triste , Ira , Ira chiricana , Ira chiricano , Níspero ;Humiriaceae 
Vatairea lundelii (Standl.) Killip ;Cocobolo de San , Carlos , Amargo , Amarillón , Carao macho ;Fabaceae-Pap. 
Viburnum costaricanum (Oerst.) Hemsl. ;Curá ;Capparidaceae 
Virola guatemalensis (Hemsl.) Warb. ;Bogamaní , Fruta dorada ;Myristicaceae 
Virola koschnyi Warb. ;Bogamaní fruta , Brok , Candelo Fruta dorada , Miguelario , Shurekimo ;Myristicaceae 
Virola sebifera Aubl. ;Fruta dorada ;Myristicaceae 
Virola surinamensis (Rol. ex ) Rottb. Warb. ;Candelo , Fruta dorada ;Myristicaceae 
Vismia baccifera (L.) Triana & Planch. ;Achiotillo ;Clusiaceae 
Vismia macrophylla Kunth ;Achiotillo ;Clusiaceae 
Vitex cooperi Standl. ;Cacho de venado , Cuajada , Manú blanco , Manú cuajada , Manú plátano , Mer , Plátano ;Viticaceae 
Vochysia allenii Standl. & L.O. Williams ;Areno colorado , Baak , Barbachele , Barbaschele , Botarrama blanco , Botarrama negro , Mayo , Mayo blanco , Mayo rosado , Palo de mayo , San juanillo ;Vochysiaceae 
Vochysia ferruginea Mart. ;Areno , Botarrama , Chancho , Chancho colorado , Flor de mayo , Mayo , Mayo colorado , Mayo negro , Palo de chancho , Palo de mayo , Palo mayo , Sebo ;Vochysiaceae 
Vochysia guatemalensis Donn. Sm. ;Barbaschele , Cebo Chancho , Chanco blanco , Ira de agua , Mayo , Mayo blanco , Palo de mayo ;Vochysiaceae 
Vochysia megalophylla Stafleu ;Ira de agua Mayo ;Vochysiaceae 
Vouarana anomala (Steyerm.) P. Acevedo ;Areno ;Sapindaceae 
Warszewiczia coccinea (Vahl) Klotzsch ;Pastora de montaña ;Rubiaceae 
Washingtonia robusta H. Wendl. ;Palma ;Arecaceae 
Weinmannia pinnata L. ;Arrayán , Arrayán blanco Arrayán colorado , Arrayán lorito , Llorón , Lorito , Loro ;Cunoniaceae 
Weinmannia wercklei Standl. ;Arrayán , Arrayán mora ;Cunoniaceae 
Welfia georgii H. Wendl. ex Burret ;Corozo , Maquenque ;Arecaceae 
Willianodendron glaucophyllum (van der Werff) Kubitzki ;Melón Oloroso ;Lauraceae 
Wimmeria sternii Lundell ;Corroncho ;Celastraceae 
Xylopia frutescens Aubl. ;Pavito ;Annonaceae 
Xylopia sericophylla Standl. & L. O. Williams ;Flaco Gabul , Lengua de gallina , Manga larga , Yayo ;Annonaceae 
Xylopia spp ;Anonillo ;Annonaceae 
Xylosma flexuosa (Kunth) Hemsl. ;Peipute ;Flacourtiaceae 
Xylosma intermedia (Seem.) Triana & Planch. ;Peipute ;Flacourtiaceae 
Xylosma spp ;Peipute ;Flacourtiaceae 
Yucca guatemalensis hort. ex Baker ;Itabo Izote ;Agavaceae 
Zamia fairchildiana L.D. Gomez ;Zamia ;Zamiaceae 
Zamia skinneri Warsz. ex A. Dietr. ;Zamia ;Zamiaceae 
Zanthoxylum ekmannii (Urb.) Alain ;Lagarto , Lagarto amarillo ;Rutaceae 
Zanthoxylum kellermanii P. Wilson ;Lagarto , Lagarto negro ;Rutaceae 
Zanthoxylum melanostictum Schltdl. & Cham. ;Arcabú , Lagartillo , Lagartillo colorado , Lagarto , Lagarto colorado ;Rutaceae 
Zanthoxylum monophyllum (Lam.) P. Wilson ;Lagarto , Lagarto amarillo , Lagarto blanco , Lagarto blanco , Lagarto colorado , Lagarto negro ;Rutaceae 
Zinowiewia costaricensis Lundell ;Corroncho ;Celastraceae 
Zinowiewia integerrima (Turcz.) Turcz. ;Corroncho ;Celastraceae 
Zygia longifolia (Humb. & Bonpl. ex Willd.) Britton ;;Fabaceae-Mim. 
